unitary
"Operator([[ 0.77168651-0.2493213j ,  0.50825614+0.28985258j],
          [-0.24258503+0.53243903j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.28854505-0.50899958j],
          [-0.06381488-0.58160681j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.56434885-0.15443185j],
          [ 0.36730845-0.45543751j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.52893109-0.2501414j ],
          [ 0.28258656-0.51233159j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.52070988+0.26683336j],
          [-0.26615304+0.52105794j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j , -0.58450296+0.02636501j],
          [ 0.48943643-0.32061004j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.17612067-0.55796087j],
          [-0.46928875-0.34943796j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.77168651-0.2493213j ,  0.295603  -0.50493335j],
          [-0.53515826-0.23652581j,  0.77168651-0.2493213j ]],
         input_dims=(2,), output_dims=(2,))"
