unitary
"Operator([[ 0.85030065-0.2171174j , -0.0717033 +0.47403321j],
          [ 0.29018919+0.38162689j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.19641517-0.43734418j],
          [-0.03730344-0.47797207j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.02420594+0.47881408j],
          [0.20831299+0.43180383j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.29777664+0.3757365j ],
          [-0.08118591+0.47250153j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.40150185-0.26200211j],
          [ 0.22674052-0.42241873j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.20002291-0.43570596j],
          [-0.38442518-0.28647186j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.40742404+0.25269448j],
          [ 0.47869642+0.02643078j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.46723726+0.10741596j],
          [-0.35854132+0.31827185j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
