unitary
"Operator([[ 5.19050705e-01-0.78013744j, -1.11056102e-01+0.32237986j,
           -1.59728346e-02-0.07324926j,  8.21539203e-03+0.0046501j ],
          [ 3.36939677e-01+0.05228658j,  8.45634333e-01-0.07266066j,
           -2.78540679e-01+0.28311707j, -1.59728346e-02-0.07324926j],
          [ 4.04759016e-02+0.06310536j,  3.27918540e-01+0.22407503j,
            8.45634333e-01-0.07266066j, -1.11056102e-01+0.32237986j],
          [ 1.73205009e-04+0.00943854j,  4.04759016e-02+0.06310536j,
            3.36939677e-01+0.05228658j,  5.19050705e-01-0.78013744j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.5190507 -0.78013744j,  0.17604954+0.2920082j ,
           -0.06926937+0.02867646j, -0.00482954-0.0081112j ],
          [ 0.17604954+0.2920082j ,  0.84563433-0.07266066j,
            0.03848421+0.39529628j, -0.06926937+0.02867646j],
          [-0.06926937+0.02867646j,  0.03848421+0.39529628j,
            0.84563433-0.07266066j,  0.17604954+0.2920082j ],
          [-0.00482954-0.0081112j , -0.06926937+0.02867646j,
            0.17604954+0.2920082j ,  0.5190507 -0.78013744j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.5190507 -0.78013744j,  0.17604954+0.2920082j ,
           -0.06926937+0.02867646j, -0.00482954-0.0081112j ],
          [ 0.17604954+0.2920082j ,  0.84563433-0.07266066j,
            0.03848421+0.39529628j, -0.06926937+0.02867646j],
          [-0.06926937+0.02867646j,  0.03848421+0.39529628j,
            0.84563433-0.07266066j,  0.17604954+0.2920082j ],
          [-0.00482954-0.0081112j , -0.06926937+0.02867646j,
            0.17604954+0.2920082j ,  0.5190507 -0.78013744j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.5190507 -0.78013744j,  0.18651629-0.28543634j,
            0.02067316-0.0720639j , -0.00292138-0.00897673j],
          [-0.3394964 +0.03169274j,  0.84563433-0.07266066j,
            0.33931536-0.20641044j,  0.02067316-0.0720639j ],
          [ 0.06556081+0.03636435j, -0.37275662-0.13708643j,
            0.84563433-0.07266066j,  0.18651629-0.28543634j],
          [-0.00649978-0.00684609j,  0.06556081+0.03636435j,
           -0.3394964 +0.03169274j,  0.5190507 -0.78013744j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.5190507 -0.78013744j,  0.2442714 -0.23789434j,
            0.04937995-0.05641104j,  0.00319143-0.0088843j ],
          [-0.32441504+0.10496243j,  0.84563433-0.07266066j,
            0.37616042-0.12745007j,  0.04937995-0.05641104j],
          [ 0.07480358+0.00500095j, -0.39367972-0.05250202j,
            0.84563433-0.07266066j,  0.2442714 -0.23789434j],
          [-0.00933151-0.00142795j,  0.07480358+0.00500095j,
           -0.32441504+0.10496243j,  0.5190507 -0.78013744j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.5190507 -0.78013744j,  0.17604954+0.2920082j ,
           -0.06926937+0.02867646j, -0.00482954-0.0081112j ],
          [ 0.17604954+0.2920082j ,  0.84563433-0.07266066j,
            0.03848421+0.39529628j, -0.06926937+0.02867646j],
          [-0.06926937+0.02867646j,  0.03848421+0.39529628j,
            0.84563433-0.07266066j,  0.17604954+0.2920082j ],
          [-0.00482954-0.0081112j , -0.06926937+0.02867646j,
            0.17604954+0.2920082j ,  0.5190507 -0.78013744j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 0.5190507 -0.78013744j,  0.17604954+0.2920082j ,
           -0.06926937+0.02867646j, -0.00482954-0.0081112j ],
          [ 0.17604954+0.2920082j ,  0.84563433-0.07266066j,
            0.03848421+0.39529628j, -0.06926937+0.02867646j],
          [-0.06926937+0.02867646j,  0.03848421+0.39529628j,
            0.84563433-0.07266066j,  0.17604954+0.2920082j ],
          [-0.00482954-0.0081112j , -0.06926937+0.02867646j,
            0.17604954+0.2920082j ,  0.5190507 -0.78013744j]],
         input_dims=(2, 2), output_dims=(2, 2))"
