unitary
"Operator([[-0.73270522-0.153967j  ,  0.52759318-0.03631625j,
           -0.18201527+0.32491795j, -0.14462419-0.01209948j],
          [ 0.52759318-0.03631625j,  0.2755459 +0.13734714j,
            0.04424168+0.69633198j, -0.18201527+0.32491795j],
          [-0.18201527+0.32491795j,  0.04424168+0.69633198j,
            0.2755459 +0.13734714j,  0.52759318-0.03631625j],
          [-0.14462419-0.01209948j, -0.18201527+0.32491795j,
            0.52759318-0.03631625j, -0.73270522-0.153967j  ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.73270522-0.153967j  ,  0.52731616-0.04013855j,
           -0.17728718+0.32752173j, -0.14485303-0.00895274j],
          [ 0.5278425 -0.03249205j,  0.2755459 +0.13734714j,
            0.04928655+0.6959931j , -0.17728718+0.32752173j],
          [-0.18670513+0.32224591j,  0.03919448+0.6966343j ,
            0.2755459 +0.13734714j,  0.52731616-0.04013855j],
          [-0.14432699-0.0152405j , -0.18670513+0.32224591j,
            0.5278425 -0.03249205j, -0.73270522-0.153967j  ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.73270522-0.153967j  ,  0.52759318-0.03631625j,
           -0.18201527+0.32491795j, -0.14462419-0.01209948j],
          [ 0.52759318-0.03631625j,  0.2755459 +0.13734714j,
            0.04424168+0.69633198j, -0.18201527+0.32491795j],
          [-0.18201527+0.32491795j,  0.04424168+0.69633198j,
            0.2755459 +0.13734714j,  0.52759318-0.03631625j],
          [-0.14462419-0.01209948j, -0.18201527+0.32491795j,
            0.52759318-0.03631625j, -0.73270522-0.153967j  ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.73270522-0.153967j  ,  0.52759318-0.03631625j,
           -0.18201527+0.32491795j, -0.14462419-0.01209948j],
          [ 0.52759318-0.03631625j,  0.2755459 +0.13734714j,
            0.04424168+0.69633198j, -0.18201527+0.32491795j],
          [-0.18201527+0.32491795j,  0.04424168+0.69633198j,
            0.2755459 +0.13734714j,  0.52759318-0.03631625j],
          [-0.14462419-0.01209948j, -0.18201527+0.32491795j,
            0.52759318-0.03631625j, -0.73270522-0.153967j  ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.73270522-0.153967j  ,  0.52759318-0.03631625j,
           -0.18201527+0.32491795j, -0.14462419-0.01209948j],
          [ 0.52759318-0.03631625j,  0.2755459 +0.13734714j,
            0.04424168+0.69633198j, -0.18201527+0.32491795j],
          [-0.18201527+0.32491795j,  0.04424168+0.69633198j,
            0.2755459 +0.13734714j,  0.52759318-0.03631625j],
          [-0.14462419-0.01209948j, -0.18201527+0.32491795j,
            0.52759318-0.03631625j, -0.73270522-0.153967j  ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[-0.73270522-0.153967j  ,  0.52759318-0.03631625j,
           -0.18201527+0.32491795j, -0.14462419-0.01209948j],
          [ 0.52759318-0.03631625j,  0.2755459 +0.13734714j,
            0.04424168+0.69633198j, -0.18201527+0.32491795j],
          [-0.18201527+0.32491795j,  0.04424168+0.69633198j,
            0.2755459 +0.13734714j,  0.52759318-0.03631625j],
          [-0.14462419-0.01209948j, -0.18201527+0.32491795j,
            0.52759318-0.03631625j, -0.73270522-0.153967j  ]],
         input_dims=(2, 2), output_dims=(2, 2))"
